clouds,rain,snow,wind,temp,head,torso,legs,feet,accessories
0,0,0,0,20,Winter Hat and Scarf,Winter Coat,Heavy Pants,Boots,Nothing
0,0,0,0,40,Winter Hat,Jacket,Heavy Pants,Shoes,Nothing
0,0,0,0,50,Baseball Cap or Sunglasses,Sweatshirt,Pants,Shoes,Nothing
0,0,0,0,60,Baseball Cap or Sunglasses,Long Sleeve Shirt,Pants,Shoes,Nothing
0,0,0,0,70,Baseball Cap or Sunglasses,T-Shirt,Shorts,Shoes,Nothing
0,0,0,0,85,Baseball Cap or Sunglasses,T-Shirt,Shorts,Sandals,Nothing
0,0,0,5,20,Winter Hat and Scarf,Winter Coat,Heavy Pants,Boots,Nothing
0,0,0,5,40,Winter Hat,Jacket,Heavy Pants,Shoes,Nothing
0,0,0,5,50,Baseball Cap or Sunglasses,Sweatshirt,Pants,Shoes,Nothing
0,0,0,5,60,Baseball Cap or Sunglasses,Long Sleeve Shirt,Pants,Shoes,Nothing
0,0,0,5,70,Baseball Cap or Sunglasses,T-Shirt,Shorts,Shoes,Nothing
0,0,0,5,85,Baseball Cap or Sunglasses,T-Shirt,Shorts,Sandals,Nothing
0,0,0,10,20,Winter Hat and Scarf,Winter Coat,Heavy Pants,Boots,Nothing
0,0,0,10,40,Winter Hat,Jacket,Heavy Pants,Shoes,Nothing
0,0,0,10,50,Baseball Cap or Sunglasses,Sweatshirt,Pants,Shoes,Nothing
0,0,0,10,60,Baseball Cap or Sunglasses,Long Sleeve Shirt,Pants,Shoes,Nothing
0,0,0,10,70,Baseball Cap or Sunglasses,T-Shirt,Shorts,Shoes,Nothing
0,0,0,10,85,Baseball Cap or Sunglasses,T-Shirt,Shorts,Sandals,Nothing
0,0,1,0,20,Winter Hat and Scarf,Winter Coat,Heavy Pants,Boots,Nothing
0,0,1,0,40,Winter Hat,Jacket,Heavy Pants,Shoes,Nothing
0,0,1,0,50,Baseball Cap or Sunglasses,Sweatshirt,Pants,Shoes,Nothing
0,0,1,0,60,Baseball Cap or Sunglasses,Long Sleeve Shirt,Pants,Shoes,Nothing
